StockCode,Description,Product_Category,Total_Revenue,Total_Quantity_Sold,Total_Orders,Avg_Price,Unique_Customers
22086,PAPER CHAIN KIT 50'S CHRISTMAS,SEASONAL,3913.72,1527,47,3.61,31
84879,ASSORTED COLOUR BIRD ORNAMENT,OTHER,2017.3,1330,17,1.66,17
DOT,DOTCOM POSTAGE,OTHER,1403.62,12,12,116.97,0
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,LIGHTING,1340.41,597,13,3.93,6
85123A,WHITE HANGING HEART T-LIGHT HOLDER,LIGHTING,1270.72,473,32,2.96,30
15056BL,EDWARDIAN PARASOL BLACK,OTHER,1247.9,263,6,6.9,5
79323W,WHITE CHERRY LIGHTS,LIGHTING,1170.66,200,20,7.14,17
22083,PAPER CHAIN KIT RETRO SPOT,OTHER,1032.14,408,17,3.42,11
22111,SCOTTIE DOG HOT WATER BOTTLE,OTHER,944.84,202,26,5.25,24
22139,RETRO SPOT TEA SET CERAMIC 11 PC,SETS,879.02,192,17,5.24,15
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,SETS,848.55,223,6,5.55,4
84029E,RED WOOLLY HOTTIE WHITE HEART.,OTHER,837.43,284,12,3.89,11
35400,WOODEN BOX ADVENT CALENDAR,OTHER,785.5,58,21,13.3,10
22041,"RECORD FRAME 7"" SINGLE SIZE",OTHER,705.6,336,3,2.1,3
85099B,JUMBO BAG RED WHITE SPOTTY,BAGS,647.4,353,21,2.03,19
22189,CREAM HEART CARD HOLDER,OTHER,640.51,179,12,4.59,10
21217,RED SPOTTY ROUND CAKE TINS,OTHER,638.55,69,10,9.65,10
20679,EDWARDIAN PARASOL RED,OTHER,623.4,132,2,5.28,2
79323P,PINK CHERRY LIGHTS,LIGHTING,622.27,109,10,7.2,9
21107,CREAM SLICE FLANNEL PINK SPOT,OTHER,578.1,222,5,2.71,4
72756,FAIRY CAKE CANDLES,OTHER,565.02,414,15,1.46,15
21754,HOME BUILDING BLOCK WORD,OTHER,553.33,97,12,6.38,11
22114,HOT WATER BOTTLE TEA AND SYMPATHY,OTHER,545.15,131,23,4.52,20
POST,POSTAGE,OTHER,477.42,17,7,50.37,7
35004C,SET OF 3 COLOURED  FLYING DUCKS,SETS,470.3,99,4,6.94,3
21258,VICTORIAN SEWING BOX LARGE,OTHER,445.08,33,8,17.06,5
21232,STRAWBERRY CERAMIC TRINKET BOX,OTHER,430.98,354,17,1.31,16
21212,PACK OF 72 RETRO SPOT CAKE CASES,OTHER,425.2,862,25,0.56,22
84078A,SET/4 WHITE RETRO STORAGE CUBES,SETS,419.4,12,1,34.95,1
20692,FLORAL ELEPHANT SOFT TOY,OTHER,411.0,108,3,4.08,3
21755,LOVE BUILDING BLOCK WORD,OTHER,407.35,73,11,5.86,10
20685,RED SPOTTY COIR DOORMAT,OTHER,406.75,65,13,6.63,13
85132A,CHARLIE + LOLA BISCUITS TINS,OTHER,404.5,61,2,14.04,1
22112,CHOCOLATE HOT WATER BOTTLE,OTHER,403.36,87,14,5.35,13
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,LIGHTING,398.65,57,12,9.18,10
85132C,CHARLIE AND LOLA FIGURES TINS,OTHER,393.95,61,2,8.18,2
22113,GREY HEART HOT WATER BOTTLE,OTHER,366.58,105,15,3.74,14
22138,BAKING SET 9 PIECE RETROSPOT,SETS,366.18,79,26,5.17,24
21733,RED HANGING HEART T-LIGHT HOLDER,LIGHTING,362.13,125,11,3.19,10
22197,"POPCORN HOLDER , SMALL",OTHER,357.65,479,11,0.9,10
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,OTHER,348.0,240,1,1.45,1
21485,RED SPOT HEART HOT WATER BOTTLE,OTHER,345.91,72,13,5.38,12
21231,SWEETHEART CERAMIC TRINKET BOX,OTHER,343.55,283,17,1.31,15
22125,UNION JACK HOT WATER BOTTLE,OTHER,339.15,57,17,5.95,16
21864,UNION JACK FLAG PASSPORT COVER,OTHER,328.12,188,9,2.25,7
84946,ANTIQUE SILVER TEA GLASS ETCHED,OTHER,325.56,300,16,1.31,13
21527,RETRO SPOT TRADITIONAL TEAPOT,OTHER,324.8,40,13,8.6,12
85042,ANTIQUE LILY FAIRY LIGHTS,LIGHTING,312.77,73,11,5.91,8
20971,PINK BLUE FELT CRAFT TRINKET BOX,OTHER,308.15,283,6,1.22,6
90035B,"PEARL & SHELL 42""NECKL. PINK",OTHER,305.64,36,1,8.49,1
72023F,RED ORGANIC CANDLE IN GLASS,OTHER,300.6,348,3,0.98,2
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,OTHER,287.8,46,14,6.96,12
85174,S/4 CACTI CANDLES,OTHER,285.05,58,8,8.81,3
21477,STRING OF 20 ROSE LIGHTS,LIGHTING,282.75,25,4,12.3,4
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,SETS,280.05,193,2,1.55,2
21931,JUMBO STORAGE BAG SUKI,BAGS,276.95,155,16,2.22,12
21843,RETRO SPOT CAKE STAND,OTHER,273.35,31,13,11.78,11
20725,LUNCH BAG RED SPOTTY,BAGS,266.45,172,9,1.92,8
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,LIGHTING,266.25,93,6,3.0,4
21842,PINK HEART CANDY BUTTON CALCULATOR,OTHER,264.0,112,4,2.44,4
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,OTHER,258.45,301,3,0.98,2
82482,WOODEN PICTURE FRAME WHITE FINISH,OTHER,248.1,110,10,2.46,10
21490,SET OF THREE 50'S GIFT WRAPS,SETS,246.95,128,21,2.38,16
21622,VINTAGE UNION JACK CUSHION COVER,OTHER,245.54,46,8,6.06,7
