Date,Daily_Revenue,Daily_Orders,Daily_Customers,Daily_Items,Daily_Products,Year,Month,Day,DayOfWeek,DayOfYear,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd
2023-01-01,352.01,8,6,29,22,2023,1,1,6,1,52,1,1,1,0
2023-01-02,891.91,14,10,29,31,2023,1,2,0,2,1,1,0,0,0
2023-01-03,704.03,17,12,17,18,2023,1,3,1,3,1,1,0,0,0
2023-01-04,866.36,24,17,42,21,2023,1,4,2,4,1,1,0,0,0
2023-01-05,1154.65,27,19,36,28,2023,1,5,3,5,1,1,0,0,0
2023-01-06,1176.63,35,25,70,30,2023,1,6,4,6,1,1,0,0,0
2023-01-07,1244.86,19,13,31,36,2023,1,7,5,7,1,1,1,0,0
2023-01-08,1118.24,23,11,33,32,2023,1,8,6,8,1,1,1,0,0
2023-01-09,1287.15,27,18,60,25,2023,1,9,0,9,2,1,0,0,0
2023-01-10,846.08,20,16,55,19,2023,1,10,1,10,2,1,0,0,0
2023-01-11,995.01,24,15,71,35,2023,1,11,2,11,2,1,0,0,0
2023-01-12,1081.87,29,19,80,35,2023,1,12,3,12,2,1,0,0,0
2023-01-13,1077.26,24,14,37,34,2023,1,13,4,13,2,1,0,0,0
2023-01-14,1651.45,37,29,103,33,2023,1,14,5,14,2,1,1,0,0
2023-01-15,1447.26,23,16,86,21,2023,1,15,6,15,2,1,1,0,0
2023-01-16,1305.38,28,18,72,23,2023,1,16,0,16,3,1,0,0,0
2023-01-17,919.86,18,15,37,25,2023,1,17,1,17,3,1,0,0,0
2023-01-18,879.97,16,11,33,31,2023,1,18,2,18,3,1,0,0,0
2023-01-19,965.84,17,10,38,27,2023,1,19,3,19,3,1,0,0,0
2023-01-20,908.48,18,13,45,27,2023,1,20,4,20,3,1,0,0,0
2023-01-21,1084.03,26,17,48,30,2023,1,21,5,21,3,1,1,0,0
2023-01-22,1460.21,22,15,59,34,2023,1,22,6,22,3,1,1,0,0
2023-01-23,830.0,18,12,80,27,2023,1,23,0,23,4,1,0,0,0
2023-01-24,997.07,22,12,75,33,2023,1,24,1,24,4,1,0,0,0
2023-01-25,1067.54,29,24,39,33,2023,1,25,2,25,4,1,0,0,0
2023-01-26,1268.38,36,23,92,30,2023,1,26,3,26,4,1,0,0,0
2023-01-27,895.81,19,11,54,24,2023,1,27,4,27,4,1,0,0,0
2023-01-28,2041.19,54,36,170,34,2023,1,28,5,28,4,1,1,0,0
2023-01-29,1713.35,29,15,76,38,2023,1,29,6,29,4,1,1,0,0
2023-01-30,1566.97,48,27,140,37,2023,1,30,0,30,5,1,0,0,0
2023-01-31,1191.1,24,15,64,33,2023,1,31,1,31,5,1,0,0,1
2023-02-01,683.58,10,7,15,30,2023,2,1,2,32,5,1,0,1,0
2023-02-02,653.95,12,9,22,31,2023,2,2,3,33,5,1,0,0,0
2023-02-03,994.5,18,16,41,26,2023,2,3,4,34,5,1,0,0,0
2023-02-04,1199.38,32,22,88,33,2023,2,4,5,35,5,1,1,0,0
2023-02-05,1556.41,34,28,77,49,2023,2,5,6,36,5,1,1,0,0
2023-02-06,1282.06,35,20,101,31,2023,2,6,0,37,6,1,0,0,0
2023-02-07,1062.1,21,14,38,23,2023,2,7,1,38,6,1,0,0,0
2023-02-08,895.46,16,11,24,29,2023,2,8,2,39,6,1,0,0,0
2023-02-09,1015.62,28,20,71,24,2023,2,9,3,40,6,1,0,0,0
2023-02-10,1236.96,24,19,80,25,2023,2,10,4,41,6,1,0,0,0
2023-02-11,1192.72,23,17,66,51,2023,2,11,5,42,6,1,1,0,0
2023-02-12,1507.43,26,20,78,33,2023,2,12,6,43,6,1,1,0,0
2023-02-13,1309.19,35,23,73,33,2023,2,13,0,44,7,1,0,0,0
2023-02-14,1296.09,49,37,59,30,2023,2,14,1,45,7,1,0,0,0
2023-02-15,1119.66,24,14,46,34,2023,2,15,2,46,7,1,0,0,0
2023-02-16,857.36,18,12,35,39,2023,2,16,3,47,7,1,0,0,0
2023-02-17,1289.22,52,37,102,37,2023,2,17,4,48,7,1,0,0,0
2023-02-18,1226.42,27,20,86,26,2023,2,18,5,49,7,1,1,0,0
2023-02-19,1322.58,32,20,125,35,2023,2,19,6,50,7,1,1,0,0
2023-02-20,955.77,17,15,56,21,2023,2,20,0,51,8,1,0,0,0
2023-02-21,894.7,15,9,42,32,2023,2,21,1,52,8,1,0,0,0
2023-02-22,830.97,18,6,30,27,2023,2,22,2,53,8,1,0,0,0
2023-02-23,784.83,12,6,25,28,2023,2,23,3,54,8,1,0,0,0
2023-02-24,1435.83,46,37,115,29,2023,2,24,4,55,8,1,0,0,0
2023-02-25,1492.56,31,19,79,32,2023,2,25,5,56,8,1,1,0,0
2023-02-26,1420.15,27,23,40,44,2023,2,26,6,57,8,1,1,0,0
2023-02-27,835.91,19,14,51,25,2023,2,27,0,58,9,1,0,0,0
2023-02-28,1124.75,28,17,89,33,2023,2,28,1,59,9,1,0,0,1
2023-03-01,991.18,18,13,56,33,2023,3,1,2,60,9,1,0,1,0
2023-03-02,968.99,24,18,71,29,2023,3,2,3,61,9,1,0,0,0
2023-03-03,1376.86,23,14,67,32,2023,3,3,4,62,9,1,0,0,0
2023-03-04,1934.33,34,26,107,45,2023,3,4,5,63,9,1,1,0,0
2023-03-05,2006.72,38,25,104,39,2023,3,5,6,64,9,1,1,0,0
2023-03-06,1717.97,33,20,137,32,2023,3,6,0,65,10,1,0,0,0
2023-03-07,1133.58,20,15,59,34,2023,3,7,1,66,10,1,0,0,0
2023-03-08,1384.02,38,26,74,38,2023,3,8,2,67,10,1,0,0,0
2023-03-09,1356.52,36,24,101,30,2023,3,9,3,68,10,1,0,0,0
2023-03-10,1486.87,31,22,64,32,2023,3,10,4,69,10,1,0,0,0
2023-03-11,2075.02,67,37,128,39,2023,3,11,5,70,10,1,1,0,0
